customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_id,rating_was_missing,purchase_month,purchase_dow,engagement_mean,engagement_max,interest_mean,interest_max,sentiment_mean,num_platforms,num_social_rows,dominant_platform,has_social_profile
113,1055,170,2024-02-24,Groceries,3.6,113,0,2,5,74.0,98.0,1.85,2.7,0.5,2.0,2.0,Facebook,1
108,1056,165,2024-02-25,Groceries,2.8,108,0,2,6,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
189,1057,282,2024-02-26,Groceries,3.2,189,0,2,0,82.5,99.0,3.5999999999999996,4.1,-0.5,4.0,4.0,Facebook,1
152,1058,308,2024-02-27,Clothing,4.8,152,0,2,1,88.0,95.0,4.15,4.2,1.0,2.0,2.0,Facebook,1
101,1059,408,2024-02-28,Books,2.5,101,0,2,2,68.0,68.0,1.0,1.0,0.0,1.0,1.0,Twitter,1
183,1060,247,2024-02-29,Electronics,4.8,183,0,2,3,81.0,90.0,4.55,5.0,1.0,1.0,2.0,TikTok,1
191,1061,460,2024-03-01,Sports,4.6,191,0,3,4,92.0,92.0,2.1,2.1,1.0,1.0,1.0,Facebook,1
159,1062,186,2024-03-02,Electronics,1.8,159,0,3,5,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
170,1063,367,2024-03-03,Books,1.3,170,0,3,6,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
143,1064,214,2024-03-04,Sports,1.4,143,0,3,0,68.0,68.0,1.2,1.2,-1.0,1.0,1.0,Instagram,1
107,1065,274,2024-03-05,Books,1.1,107,0,3,1,77.0,96.0,3.5,4.4,0.6666666666666666,2.0,3.0,Twitter,1
146,1066,356,2024-03-06,Groceries,1.4,146,0,3,2,75.0,81.0,3.4,3.9,-0.5,2.0,2.0,Facebook,1
134,1067,283,2024-03-07,Sports,3.7,134,0,3,3,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
177,1068,221,2024-03-08,Groceries,1.3,177,0,3,4,71.0,77.0,1.35,1.4,1.0,2.0,2.0,LinkedIn,1
180,1069,201,2024-03-09,Electronics,2.3,180,0,3,5,77.5,98.0,2.95,3.8,-1.0,2.0,2.0,Facebook,1
135,1070,364,2024-03-10,Electronics,3.0,135,1,3,6,50.0,50.0,1.6,1.6,1.0,1.0,1.0,TikTok,1
149,1071,423,2024-03-11,Sports,1.1,149,0,3,0,51.0,51.0,1.3,1.3,1.0,1.0,1.0,Facebook,1
103,1072,209,2024-03-12,Sports,4.3,103,0,3,1,64.33333333333333,77.0,2.8666666666666667,3.6,0.3333333333333333,2.0,3.0,Instagram,1
101,1073,145,2024-03-13,Books,2.1,101,0,3,2,68.0,68.0,1.0,1.0,0.0,1.0,1.0,Twitter,1
105,1074,282,2024-03-14,Books,1.5,105,0,3,3,51.0,52.0,4.25,4.9,0.0,2.0,2.0,Instagram,1
153,1075,229,2024-03-15,Groceries,3.8,153,0,3,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
103,1076,162,2024-03-16,Sports,3.5,103,0,3,5,64.33333333333333,77.0,2.8666666666666667,3.6,0.3333333333333333,2.0,3.0,Instagram,1
153,1077,367,2024-03-17,Electronics,4.5,153,0,3,6,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
192,1078,491,2024-03-18,Books,3.9,192,0,3,0,60.0,60.0,4.3,4.3,1.0,1.0,1.0,Instagram,1
162,1079,101,2024-03-19,Books,4.2,162,0,3,1,80.0,89.0,3.7,4.8,1.0,1.0,2.0,Twitter,1
117,1080,317,2024-03-20,Electronics,2.1,117,0,3,2,88.0,98.0,3.8499999999999996,3.9,0.0,1.0,2.0,LinkedIn,1
189,1081,344,2024-03-21,Books,3.0,189,1,3,3,82.5,99.0,3.5999999999999996,4.1,-0.5,4.0,4.0,Facebook,1
143,1082,435,2024-03-22,Groceries,4.0,143,0,3,4,68.0,68.0,1.2,1.2,-1.0,1.0,1.0,Instagram,1
133,1083,436,2024-03-23,Sports,4.2,133,0,3,5,65.0,72.0,3.1333333333333333,4.8,0.3333333333333333,2.0,3.0,Twitter,1
173,1084,162,2024-03-24,Electronics,5.0,173,0,3,6,70.5,78.0,4.1,4.3,-1.0,2.0,2.0,Facebook,1
161,1085,150,2024-03-25,Sports,2.7,161,0,3,0,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
199,1086,162,2024-03-26,Books,2.5,199,0,3,1,57.0,57.0,1.8,1.8,1.0,1.0,1.0,LinkedIn,1
113,1087,489,2024-03-27,Books,4.1,113,0,3,2,74.0,98.0,1.85,2.7,0.5,2.0,2.0,Facebook,1
194,1088,130,2024-03-28,Electronics,2.4,194,0,3,3,89.0,89.0,4.0,4.0,-1.0,1.0,1.0,LinkedIn,1
147,1089,236,2024-03-29,Groceries,3.0,147,1,3,4,77.0,77.0,1.5,1.5,0.0,1.0,1.0,Twitter,1
114,1090,162,2024-03-30,Clothing,4.4,114,0,3,5,87.0,87.0,4.8,4.8,-1.0,1.0,1.0,Facebook,1
171,1091,51,2024-03-31,Electronics,2.7,171,0,3,6,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
177,1092,179,2024-04-01,Clothing,4.0,177,0,4,0,71.0,77.0,1.35,1.4,1.0,2.0,2.0,LinkedIn,1
186,1093,269,2024-04-02,Clothing,4.0,186,0,4,1,79.0,79.0,2.8,2.8,1.0,1.0,1.0,TikTok,1
161,1094,103,2024-04-03,Groceries,1.4,161,0,4,2,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
139,1095,392,2024-04-04,Clothing,4.6,139,0,4,3,72.0,72.0,4.0,4.0,-1.0,1.0,1.0,Twitter,1
184,1096,273,2024-04-05,Clothing,3.0,184,0,4,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
179,1097,274,2024-04-06,Groceries,4.3,179,0,4,5,50.0,50.0,3.0,3.0,-1.0,1.0,1.0,Twitter,1
181,1098,434,2024-04-07,Clothing,3.0,181,1,4,6,66.0,66.0,2.1,2.1,1.0,1.0,1.0,Twitter,1
152,1099,452,2024-04-08,Clothing,4.6,152,0,4,0,88.0,95.0,4.15,4.2,1.0,2.0,2.0,Facebook,1
123,1100,175,2024-04-09,Clothing,2.6,123,0,4,1,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
125,1101,179,2024-04-10,Electronics,3.0,125,1,4,2,66.5,77.0,3.825,4.9,0.75,3.0,4.0,Twitter,1
188,1102,102,2024-04-11,Electronics,4.6,188,0,4,3,50.0,50.0,3.6,3.6,1.0,1.0,1.0,TikTok,1
159,1103,221,2024-04-12,Electronics,1.4,159,0,4,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
140,1104,267,2024-04-13,Groceries,2.3,140,0,4,5,86.0,86.0,3.1,3.1,-1.0,1.0,1.0,LinkedIn,1
128,1105,209,2024-04-14,Books,4.8,128,0,4,6,98.0,98.0,3.5,3.5,1.0,1.0,1.0,Facebook,1
114,1106,247,2024-04-15,Clothing,4.8,114,0,4,0,87.0,87.0,4.8,4.8,-1.0,1.0,1.0,Facebook,1
144,1107,465,2024-04-16,Clothing,3.3,144,0,4,1,70.0,70.0,1.3,1.3,1.0,1.0,1.0,Twitter,1
164,1108,296,2024-04-17,Groceries,3.5,164,0,4,2,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
188,1109,373,2024-04-18,Clothing,2.8,188,0,4,3,50.0,50.0,3.6,3.6,1.0,1.0,1.0,TikTok,1
170,1110,488,2024-04-19,Electronics,3.0,170,1,4,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
108,1111,252,2024-04-20,Books,2.3,108,0,4,5,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
187,1112,233,2024-04-21,Sports,3.7,187,0,4,6,85.66666666666667,97.0,2.733333333333334,4.4,-0.6666666666666666,3.0,3.0,Instagram,1
100,1113,172,2024-04-22,Clothing,4.0,100,0,4,0,77.0,81.0,4.4,4.4,-0.5,2.0,2.0,Instagram,1
107,1114,450,2024-04-23,Electronics,4.2,107,0,4,1,77.0,96.0,3.5,4.4,0.6666666666666666,2.0,3.0,Twitter,1
187,1115,304,2024-04-24,Sports,4.2,187,0,4,2,85.66666666666667,97.0,2.733333333333334,4.4,-0.6666666666666666,3.0,3.0,Instagram,1
162,1116,343,2024-04-25,Books,1.4,162,0,4,3,80.0,89.0,3.7,4.8,1.0,1.0,2.0,Twitter,1
110,1117,329,2024-04-26,Sports,3.0,110,0,4,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
180,1118,374,2024-04-27,Electronics,1.2,180,0,4,5,77.5,98.0,2.95,3.8,-1.0,2.0,2.0,Facebook,1
107,1119,421,2024-04-28,Sports,3.2,107,0,4,6,77.0,96.0,3.5,4.4,0.6666666666666666,2.0,3.0,Twitter,1
134,1120,147,2024-04-29,Groceries,2.8,134,0,4,0,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
134,1121,247,2024-04-30,Sports,4.6,134,0,4,1,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
132,1122,444,2024-05-01,Clothing,2.4,132,0,5,2,63.0,63.0,3.3,3.3,1.0,1.0,1.0,LinkedIn,1
104,1123,289,2024-05-02,Clothing,1.5,104,0,5,3,83.0,91.0,2.9333333333333336,4.6,-0.6666666666666666,2.0,3.0,Twitter,1
140,1124,193,2024-05-03,Groceries,1.6,140,0,5,4,86.0,86.0,3.1,3.1,-1.0,1.0,1.0,LinkedIn,1
127,1125,146,2024-05-04,Electronics,4.0,127,0,5,5,67.5,78.0,3.7,4.0,0.0,2.0,2.0,Instagram,1
106,1126,250,2024-05-05,Clothing,3.5,106,0,5,6,99.0,99.0,4.2,4.2,-1.0,1.0,1.0,Facebook,1
172,1127,173,2024-05-06,Books,1.4,172,0,5,0,56.0,56.0,2.7,2.7,-1.0,1.0,1.0,TikTok,1
171,1128,236,2024-05-07,Clothing,1.3,171,0,5,1,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
111,1129,375,2024-05-08,Clothing,3.8,111,0,5,2,98.0,98.0,4.1,4.1,-1.0,1.0,1.0,Instagram,1
133,1130,398,2024-05-09,Electronics,1.3,133,0,5,3,65.0,72.0,3.1333333333333333,4.8,0.3333333333333333,2.0,3.0,Twitter,1
132,1131,308,2024-05-10,Sports,4.3,132,0,5,4,63.0,63.0,3.3,3.3,1.0,1.0,1.0,LinkedIn,1
147,1132,197,2024-05-11,Clothing,3.8,147,0,5,5,77.0,77.0,1.5,1.5,0.0,1.0,1.0,Twitter,1
122,1133,301,2024-05-12,Groceries,1.3,122,0,5,6,81.0,85.0,2.95,4.2,0.0,2.0,2.0,Instagram,1
161,1134,492,2024-05-13,Sports,1.3,161,0,5,0,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
187,1135,469,2024-05-14,Books,4.9,187,0,5,1,85.66666666666667,97.0,2.733333333333334,4.4,-0.6666666666666666,3.0,3.0,Instagram,1
136,1136,452,2024-05-15,Electronics,2.5,136,0,5,2,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
198,1137,395,2024-05-16,Books,2.5,198,0,5,3,79.0,79.0,3.05,4.8,0.0,2.0,2.0,Facebook,1
143,1138,196,2024-05-17,Sports,4.3,143,0,5,4,68.0,68.0,1.2,1.2,-1.0,1.0,1.0,Instagram,1
185,1139,197,2024-05-18,Sports,4.8,185,0,5,5,69.25,90.0,2.725,3.6,0.25,2.0,4.0,TikTok,1
190,1140,401,2024-05-19,Sports,4.9,190,0,5,6,82.0,82.0,4.8,4.8,0.0,1.0,1.0,Twitter,1
134,1141,248,2024-05-20,Books,4.0,134,0,5,0,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
164,1142,357,2024-05-21,Sports,2.5,164,0,5,1,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
198,1143,466,2024-05-22,Books,3.0,198,1,5,2,79.0,79.0,3.05,4.8,0.0,2.0,2.0,Facebook,1
146,1144,473,2024-05-23,Sports,4.1,146,0,5,3,75.0,81.0,3.4,3.9,-0.5,2.0,2.0,Facebook,1
177,1145,177,2024-05-24,Groceries,3.2,177,0,5,4,71.0,77.0,1.35,1.4,1.0,2.0,2.0,LinkedIn,1
102,1146,88,2024-05-25,Sports,2.7,102,0,5,5,51.0,51.0,4.8,4.8,0.0,1.0,1.0,LinkedIn,1
100,1147,387,2024-05-26,Books,4.6,100,0,5,6,77.0,81.0,4.4,4.4,-0.5,2.0,2.0,Instagram,1
104,1148,409,2024-05-27,Clothing,1.4,104,0,5,0,83.0,91.0,2.9333333333333336,4.6,-0.6666666666666666,2.0,3.0,Twitter,1
189,1149,178,2024-05-28,Sports,3.0,189,0,5,1,82.5,99.0,3.5999999999999996,4.1,-0.5,4.0,4.0,Facebook,1
113,1150,316,2024-05-29,Clothing,1.0,113,0,5,2,74.0,98.0,1.85,2.7,0.5,2.0,2.0,Facebook,1
